Status,Vendor No.,Vendor,System,Division,Total Spend,Invoices,Open Balance,Avg Day to Pay,% Late,Avg Days Paid Late,Avg Invoice Value,Added On,Vendor Group,Telephone,Tax ID,Email
Inactive,1000000501,"Franklin, Jones and Jones","SAP-P49, SAP-P49-WF",Marelli Germany,0.0,0,-0.0,,,,0.0,2024-10-24,,876.818.2091,3605548589,rodriguezalexander@example.net
Active,1000000502,Anderson Inc,SAP-P49,,1003567.0,125,299849.0,89.0,99.79,29.0,13204.83,2022-08-02,,929-400-1851x327,2058984535,martin23@example.org
Active,1000000503,"Holt, Burton and Martinez",SAP-P49-WF,Marelli Poland,1000235.09,108,-149323.28,78.0,76.72,6.0,9526.05,2024-01-14,,5182418620,8542377625,ronaldhernandez@example.net
Inactive,1000000504,Perez-Koch,"SAP-P49, SAP-P49-WF",,0.0,0,-0.0,,,,0.0,2024-11-13,,(717)321-3145x1951,2078978570,munozgregory@example.net
Active,1000000505,Greene-Shelton,SAP-P49-WF,"Marelli Germany, Marelli Italy, Marelli Poland",1011494.49,28,377972.34,69.0,98.41,20.0,2089.86,2021-01-07,,(649)345-1475,2286035851,hensleytiffany@example.net
Inactive,1000000506,Flores Group,SAP-P49,"Marelli EPT Cologne, Marelli Germany, Marelli Japan, Marelli Poland, Marelli PWT Slovakia, Marelli Italy",998185.81,249,267786.71,86.0,41.78,17.0,21699.69,2022-01-06,,871.719.6421x522,7149130279,troy76@example.net
Active,1000000507,"Cook, Pham and Valdez",SAP-P49,"Marelli Poland, Marelli Japan, Marelli EPT Cologne, Marelli Germany, Marelli PWT Slovakia",1007897.86,10,-263285.96,54.0,11.05,21.0,5568.5,2022-12-18,,566.887.8878,4685347078,carpenterrobert@example.net
Inactive,1000000508,"Shepherd, Robinson and Miller",SAP-P49,"Marelli PWT Slovakia, Marelli Italy, Marelli Poland, Marelli Japan",0.0,0,-0.0,,,,0.0,2022-11-20,,(403)605-8721x055,5853339161,jthomas@example.com
Active,1000000509,Clark and Sons,"SAP-P49, SAP-P49-WF","Marelli Italy, Marelli Germany, Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Poland, Marelli Japan",997385.7,497,-212204.79,49.0,29.63,29.0,3217.37,2022-10-26,,3213260650,8224134767,kmonroe@example.org
Active,1000000510,Diaz Inc,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli Poland",0.0,0,-0.0,,,,0.0,2024-12-04,,610.996.2272,5906542622,csharp@example.net
Active,1000000511,"Smith, Rodriguez and Brown","SAP-P49, SAP-P49-WF",,0.0,0,-0.0,,,,0.0,2021-11-09,,+1-609-528-2066x7849,3363636357,rhuynh@example.org
Active,1000000512,"Gray, Tapia and Paul",SAP-P49,"Marelli Japan, Marelli PWT Slovakia",990331.61,392,177910.38,50.0,21.83,28.0,1984.63,2023-04-17,,(890)436-2891x7756,6128306701,prattdeborah@example.org
Inactive,1000000513,Rodriguez-Miller,SAP-P49,,0.0,0,0.0,,,,0.0,2021-09-16,,+1-650-534-2811x390,2793480681,daniellejohnson@example.com
Inactive,1000000514,Davila PLC,"SAP-P49, SAP-P49-WF","Marelli Italy, Marelli Germany",993963.02,119,284616.36,13.0,8.94,11.0,24243.0,2024-10-30,,7976005140,5349328755,uporter@example.com
Inactive,1000000515,"Kelly, Anderson and Leonard","SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli Japan",0.0,0,-0.0,,,,0.0,2021-09-28,,468-918-2096x79042,2703457635,mcclurechristopher@example.net
Inactive,1000000516,Wilkerson Ltd,SAP-P49,,0.0,0,0.0,,,,0.0,2023-04-15,,+1-822-288-9857x2545,7250830853,nallen@example.net
Active,1000000517,Rubio PLC,SAP-P49,"Marelli Italy, Marelli EPT Cologne, Marelli Poland, Marelli Germany",999752.68,455,113383.34,41.0,16.7,13.0,4806.5,2021-03-16,,+1-671-402-4817x1752,5540464541,ramirezmichael@example.org
Inactive,1000000518,White Group,"SAP-P49, SAP-P49-WF",,1003374.1,293,492825.88,86.0,23.17,17.0,3730.02,2024-07-26,,874-472-1970x546,5379795611,nrichardson@example.com
Inactive,1000000519,Miller-Gutierrez,SAP-P49-WF,,1000832.26,22,107826.46,41.0,51.27,16.0,3626.2,2023-03-11,,440.890.3802x146,6463552236,walkermorgan@example.net
Active,1000000520,Bailey Group,SAP-P49,"Marelli Poland, Marelli Japan, Marelli EPT Cologne, Marelli PWT Slovakia",0.0,0,-0.0,,,,0.0,2022-08-15,,+1-787-711-2166x3651,6529243951,vlewis@example.com
Active,1000000521,Ramirez Inc,SAP-P49-WF,,1002462.26,232,-324268.44,21.0,22.05,23.0,3900.63,2021-08-09,,+1-827-223-5909,7067080066,kristine73@example.org
Active,1000000522,Parrish Ltd,SAP-P49-WF,"Marelli PWT Slovakia, Marelli Germany, Marelli EPT Cologne, Marelli Poland",1002776.88,460,-150290.93,35.0,5.78,28.0,4303.76,2021-06-23,,(544)621-2146x14768,3074095810,mariadavis@example.com
Active,1000000523,Richmond-Phillips,"SAP-P49, SAP-P49-WF",,996885.65,47,467641.68,24.0,88.38,22.0,4315.52,2024-07-11,,856.277.8265,3558830535,christiancontreras@example.net
Inactive,1000000524,Morris Ltd,"SAP-P49, SAP-P49-WF",,998133.0,262,257756.34,88.0,69.6,30.0,12172.35,2023-02-04,,001-950-427-2751x6480,4363718115,lfowler@example.org
Active,1000000525,Robinson and Sons,SAP-P49-WF,"Marelli Germany, Marelli Japan, Marelli Italy, Marelli PWT Slovakia, Marelli Poland, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2022-09-15,,(682)696-3533x90550,6127318546,lyonsdeborah@example.com
Active,1000000526,Jenkins-Bell,SAP-P49,,0.0,0,0.0,,,,0.0,2022-02-09,,+1-468-451-2765,6310141490,qjames@example.net
Active,1000000527,"Kim, Campbell and Oliver",SAP-P49-WF,"Marelli Italy, Marelli PWT Slovakia, Marelli EPT Cologne, Marelli Japan",994132.15,112,-273942.49,85.0,22.38,21.0,4074.31,2023-07-08,,311-910-9617,3761587238,contrerasmelissa@example.org
Active,1000000528,Frank PLC,SAP-P49,,0.0,0,0.0,,,,0.0,2024-06-12,,(613)671-5766x0538,2891797246,kyle63@example.org
Active,1000000529,Johnson-Johnson,"SAP-P49, SAP-P49-WF","Marelli PWT Slovakia, Marelli Italy",0.0,0,0.0,,,,0.0,2024-05-09,,(889)255-2963x863,3281797214,oanderson@example.com
Active,1000000530,"Thompson, Strong and Holmes",SAP-P49,"Marelli Germany, Marelli Poland",995799.45,313,375875.32,86.0,26.56,18.0,2464.85,2024-02-15,,(331)228-1964x82531,7056977765,xsmith@example.net
Inactive,1000000531,Johnson Ltd,SAP-P49,"Marelli Poland, Marelli Japan, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2021-05-08,,+1-519-560-2752,5257484073,james36@example.com
Active,1000000532,"Williams, Miller and Thomas",SAP-P49-WF,Marelli Japan,1000823.49,441,389068.21,45.0,95.57,10.0,3706.75,2023-04-17,,6916179112,4253338865,christophersnyder@example.com
Active,1000000533,Myers Group,SAP-P49,"Marelli Italy, Marelli PWT Slovakia, Marelli EPT Cologne, Marelli Poland, Marelli Germany, Marelli Japan",1001429.33,312,155463.87,50.0,55.09,8.0,3709.0,2024-03-12,,9614713665,7814756362,kentberger@example.net
Inactive,1000000534,"Welch, Bond and Wilson","SAP-P49, SAP-P49-WF",,0.0,0,-0.0,,,,0.0,2023-09-25,,257-499-8028x41390,5470249773,michellewilson@example.org
Active,1000000535,Murphy and Sons,"SAP-P49, SAP-P49-WF","Marelli PWT Slovakia, Marelli Japan",1001672.28,13,-91699.88,69.0,37.27,20.0,2455.08,2021-08-19,,624-947-3158,7185446991,zgraham@example.org
Inactive,1000000536,Thompson-Mcdaniel,SAP-P49-WF,"Marelli Italy, Marelli Germany, Marelli PWT Slovakia",1004420.5,328,-4142.5,35.0,8.1,22.0,6927.04,2022-05-26,,001-846-619-9423x767,5393864404,cindy96@example.com
Inactive,1000000537,Bradley LLC,SAP-P49,"Marelli Poland, Marelli EPT Cologne, Marelli PWT Slovakia",0.0,0,-0.0,,,,0.0,2021-12-15,,+1-817-220-8496x4985,2833291121,whitemarcus@example.org
Inactive,1000000538,Sanchez-Lewis,SAP-P49-WF,,995246.58,331,182387.66,27.0,7.61,15.0,12440.58,2024-06-27,,(752)551-0505x379,8273306793,cruzcarolyn@example.net
Inactive,1000000539,Garcia LLC,SAP-P49-WF,,999917.89,212,-19411.83,17.0,59.24,26.0,3745.01,2022-08-26,,001-991-296-6553x307,8721377990,robert17@example.org
Active,1000000540,"Murphy, Reyes and Ray",SAP-P49,"Marelli Poland, Marelli PWT Slovakia, Marelli Germany",1005941.97,144,326610.21,13.0,34.78,10.0,5212.13,2024-06-26,,209-307-4260x8805,8589653631,zdavis@example.com
Inactive,1000000541,"Turner, Stewart and Reed",SAP-P49,"Marelli Japan, Marelli Poland, Marelli PWT Slovakia",0.0,0,0.0,,,,0.0,2023-04-17,,985-379-0647,2372794196,sharon10@example.org
Inactive,1000000542,Petersen and Sons,SAP-P49-WF,,991803.02,155,375526.36,37.0,79.74,16.0,6398.73,2021-12-14,,256-232-1358,2482030185,nicole01@example.org
Active,1000000543,Jones-Murphy,SAP-P49,Marelli EPT Cologne,1002312.74,464,158818.29,74.0,85.06,4.0,10227.68,2022-11-17,,+1-864-922-9712x529,5966990263,boydjohn@example.com
Inactive,1000000544,"Henry, Ramirez and Barton",SAP-P49-WF,Marelli Italy,1002028.09,347,337696.82,26.0,69.75,6.0,2700.88,2021-03-05,,231.544.1583x3117,3972972842,santiagotaylor@example.com
Active,1000000545,Freeman LLC,SAP-P49,Marelli Japan,1003575.04,435,180784.78,86.0,61.86,27.0,22301.67,2022-11-03,,398.485.4728,8300184572,sabrinacruz@example.com
Inactive,1000000546,"Palmer, Deleon and Lopez",SAP-P49,"Marelli Japan, Marelli Germany, Marelli Poland",0.0,0,0.0,,,,0.0,2022-01-19,,962-449-1271x130,3230798058,anthony87@example.com
Inactive,1000000547,Wilson-Pierce,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli Poland",999164.41,59,-164743.37,11.0,74.35,30.0,3132.18,2024-02-10,,(763)326-8685x074,4207874280,wongjessica@example.com
Inactive,1000000548,Carter Group,"SAP-P49, SAP-P49-WF","Marelli Japan, Marelli Poland",0.0,0,-0.0,,,,0.0,2022-05-06,,(294)589-7861,2735620977,robinsonbrian@example.org
Inactive,1000000549,"Adams, Jones and Garcia","SAP-P49, SAP-P49-WF","Marelli PWT Slovakia, Marelli EPT Cologne",0.0,0,0.0,,,,0.0,2024-10-04,,596.466.1347,2216707480,michaelroberts@example.net
Active,1000000550,Gross-Davis,SAP-P49-WF,"Marelli Italy, Marelli Japan, Marelli EPT Cologne, Marelli Poland, Marelli Germany, Marelli PWT Slovakia",0.0,0,0.0,,,,0.0,2022-01-30,,997.843.2512x25720,4291300900,andrew41@example.org
Inactive,1000000551,"Wolf, Smith and Bell","SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Japan, Marelli Germany, Marelli Poland, Marelli Italy",1000733.57,119,7473.21,38.0,0.64,4.0,2269.24,2024-06-06,,490.473.7100x9438,7403296022,garcialinda@example.com
Active,1000000552,Henry-Bell,"SAP-P49, SAP-P49-WF",,0.0,0,-0.0,,,,0.0,2022-10-17,,+1-747-945-7054,3946836501,nelsonapril@example.net
Inactive,1000000553,Hernandez Group,SAP-P49,"Marelli Germany, Marelli Poland, Marelli Italy, Marelli EPT Cologne",0.0,0,0.0,,,,0.0,2021-09-07,,525.370.3965,4181627755,samanthagray@example.org
Active,1000000554,Wiley-Shelton,SAP-P49-WF,Marelli Poland,0.0,0,0.0,,,,0.0,2023-07-23,,282.745.5696x443,8016461504,hamiltonspencer@example.com
Active,1000000555,Rodriguez-Smith,"SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Poland, Marelli Italy",0.0,0,0.0,,,,0.0,2024-11-11,,+1-227-928-4982x47414,4538198235,robinsonmargaret@example.org
Inactive,1000000556,Freeman Inc,"SAP-P49, SAP-P49-WF",,1003766.52,279,40135.99,40.0,77.98,5.0,2952.25,2024-09-22,,(550)804-2548x82142,6629521771,carterantonio@example.com
Inactive,1000000557,Cain Ltd,SAP-P49,"Marelli Poland, Marelli Italy, Marelli PWT Slovakia, Marelli Germany",993248.76,91,-390365.99,49.0,76.1,30.0,4775.23,2021-05-12,,(466)514-4942x9659,4569504200,derek83@example.com
Inactive,1000000558,Miller-Knight,SAP-P49-WF,"Marelli PWT Slovakia, Marelli Japan, Marelli Germany, Marelli Italy, Marelli Poland, Marelli EPT Cologne",1002690.11,339,-158553.22,29.0,63.26,14.0,3672.86,2022-08-09,,+1-978-726-6128x7585,7969930622,aowens@example.com
Active,1000000559,Gaines Inc,SAP-P49,"Marelli Poland, Marelli Italy, Marelli Japan",1000239.77,471,432131.69,65.0,10.25,22.0,2132.71,2022-11-26,,001-661-229-4398x52989,6253260530,qmartinez@example.org
Inactive,1000000560,Aguirre-Golden,SAP-P49,,1000877.73,32,-432542.26,57.0,30.1,28.0,3549.21,2021-04-08,,701.204.1591x497,6298589871,yangemily@example.net
Inactive,1000000561,"Brown, Harris and Thomas",SAP-P49,,1002042.56,444,208597.29,13.0,6.74,7.0,4513.71,2024-11-28,,001-272-432-4407x9311,4534735117,meyerjohn@example.org
Inactive,1000000562,Johnson-Wagner,SAP-P49-WF,"Marelli Germany, Marelli Japan, Marelli EPT Cologne, Marelli PWT Slovakia, Marelli Poland",990950.21,285,119821.26,59.0,4.57,26.0,2090.61,2022-12-28,,(301)846-7238x4979,5607612831,daisylopez@example.net
Active,1000000563,"Allen, Hunt and Lyons",SAP-P49,"Marelli PWT Slovakia, Marelli Germany, Marelli EPT Cologne, Marelli Poland, Marelli Italy, Marelli Japan",0.0,0,0.0,,,,0.0,2021-09-28,,677.844.1975,8081053461,gwolfe@example.com
Inactive,1000000564,Li-Hernandez,"SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli Italy, Marelli Japan, Marelli Germany, Marelli Poland",0.0,0,0.0,,,,0.0,2022-01-05,,471-996-0940x9705,8119349093,khill@example.com
Inactive,1000000565,"Foley, Gordon and Bailey","SAP-P49, SAP-P49-WF","Marelli Poland, Marelli EPT Cologne, Marelli Japan, Marelli PWT Slovakia, Marelli Italy",0.0,0,0.0,,,,0.0,2023-09-06,,001-686-681-2259x572,5027448043,pjones@example.com
Inactive,1000000566,Estes-Obrien,"SAP-P49, SAP-P49-WF","Marelli Japan, Marelli Italy, Marelli Poland, Marelli Germany, Marelli PWT Slovakia, Marelli EPT Cologne",0.0,0,0.0,,,,0.0,2023-08-15,,(798)884-2599,4872118836,williamsmelissa@example.org
Inactive,1000000567,Davis Inc,"SAP-P49, SAP-P49-WF","Marelli Italy, Marelli PWT Slovakia, Marelli EPT Cologne",1004825.07,233,-371698.62,75.0,75.83,28.0,4169.4,2024-03-10,,375.233.1266x1094,5151710061,alexandernicholas@example.net
Inactive,1000000568,Mclean LLC,SAP-P49-WF,"Marelli Italy, Marelli Poland, Marelli Japan, Marelli PWT Slovakia, Marelli Germany, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2021-04-05,,976-929-8334,7548038353,jeremiah26@example.net
Active,1000000569,Miller Inc,SAP-P49-WF,"Marelli Italy, Marelli PWT Slovakia",1007827.62,436,184730.14,45.0,44.59,8.0,14820.99,2024-06-04,,+1-913-502-0569x8152,3206765846,ashleywells@example.com
Active,1000000570,Montgomery-Hansen,"SAP-P49, SAP-P49-WF","Marelli Italy, Marelli Germany",999671.25,338,-226298.91,67.0,99.71,11.0,2414.66,2021-12-15,,(617)366-1912,7417039164,jimenezbrett@example.net
Inactive,1000000571,Johnson-Nicholson,SAP-P49,,992759.93,442,-333940.79,14.0,79.48,10.0,22562.73,2021-10-14,,646-851-2418x9389,5529277298,gardnerpatricia@example.net
Inactive,1000000572,Giles-Mercer,SAP-P49-WF,"Marelli Japan, Marelli Germany, Marelli Italy, Marelli Poland",989005.97,376,191552.88,54.0,22.08,1.0,3006.1,2022-06-15,,+1-200-556-4350x2385,2498192578,kjones@example.net
Inactive,1000000573,"Conley, Aguirre and Reed",SAP-P49-WF,"Marelli Italy, Marelli Germany, Marelli EPT Cologne, Marelli Poland, Marelli Japan, Marelli PWT Slovakia",0.0,0,-0.0,,,,0.0,2021-10-14,,269-391-8724,8573199463,crawfordjeffrey@example.com
Inactive,1000000574,Woods-Harrington,SAP-P49-WF,"Marelli Italy, Marelli PWT Slovakia, Marelli Japan",0.0,0,0.0,,,,0.0,2023-12-14,,900.203.8960,4737716467,scannon@example.org
Inactive,1000000575,Miles-Dunn,"SAP-P49, SAP-P49-WF",,993598.48,440,447977.35,44.0,15.11,10.0,7148.19,2022-06-20,,271-595-5356,5445923134,christophersmith@example.com
Inactive,1000000576,"Goodwin, Morton and Herrera",SAP-P49-WF,,0.0,0,-0.0,,,,0.0,2022-04-30,,6032010272,7132167301,michael34@example.org
Active,1000000577,"Sanders, Sandoval and Douglas",SAP-P49-WF,"Marelli PWT Slovakia, Marelli Japan, Marelli Italy, Marelli Germany, Marelli EPT Cologne, Marelli Poland",0.0,0,0.0,,,,0.0,2023-06-22,,748-637-5374,3509752108,alisonadams@example.net
Inactive,1000000578,"Gordon, Brown and Mccullough",SAP-P49,"Marelli PWT Slovakia, Marelli Japan, Marelli Germany, Marelli Poland, Marelli Italy",1004362.29,363,-80622.86,25.0,63.85,2.0,2287.84,2024-05-12,,001-397-741-3283x483,2557947990,barryyoung@example.com
Active,1000000579,"Duran, Benton and Smith",SAP-P49,"Marelli Poland, Marelli EPT Cologne, Marelli PWT Slovakia",992372.37,328,480286.05,68.0,40.93,29.0,6988.54,2023-05-14,,8449964104,5307639122,roypatrick@example.org
Active,1000000580,Harris and Sons,SAP-P49-WF,,0.0,0,0.0,,,,0.0,2023-02-24,,+1-268-704-0850x95493,7723709065,yglenn@example.net
Inactive,1000000581,"Goodwin, Aguirre and Tran",SAP-P49,"Marelli Germany, Marelli Italy, Marelli EPT Cologne, Marelli PWT Slovakia",0.0,0,-0.0,,,,0.0,2023-09-24,,001-448-276-9984x2673,2465705923,lauren41@example.org
Inactive,1000000582,"Phillips, Duncan and Johnson",SAP-P49,Marelli EPT Cologne,996540.46,367,-285902.77,43.0,3.11,3.0,55363.36,2021-05-19,,954-949-0149x542,6597386524,gonzalessteven@example.com
Inactive,1000000583,Little-Hawkins,SAP-P49,,993742.3,77,362078.21,10.0,47.32,29.0,49687.12,2024-09-12,,(909)414-9851x72444,3677115838,crystalthomas@example.net
Inactive,1000000584,"Williams, Wilson and Johnson",SAP-P49-WF,"Marelli Japan, Marelli EPT Cologne, Marelli Italy, Marelli Germany, Marelli Poland",0.0,0,0.0,,,,0.0,2021-05-13,,+1-287-595-0830x44058,4319835766,daniel87@example.org
Inactive,1000000585,"Jones, Harris and Hudson",SAP-P49,"Marelli Poland, Marelli Japan, Marelli EPT Cologne",0.0,0,-0.0,,,,0.0,2024-07-07,,+1-661-264-2059x55657,4779164035,michealcarter@example.org
Inactive,1000000586,"Johnson, Lynch and Morton",SAP-P49,,0.0,0,0.0,,,,0.0,2022-08-06,,889.353.6902x61139,4782248515,lawsondonna@example.net
Active,1000000587,Stewart-Lee,SAP-P49-WF,"Marelli Japan, Marelli EPT Cologne, Marelli PWT Slovakia",0.0,0,0.0,,,,0.0,2024-10-31,,001-343-553-5375,3543015346,aoconnor@example.com
Inactive,1000000588,Bell PLC,"SAP-P49, SAP-P49-WF",Marelli Germany,0.0,0,0.0,,,,0.0,2024-04-18,,457-593-7639,3024286427,qcraig@example.org
Inactive,1000000589,"Green, Mitchell and Edwards",SAP-P49-WF,"Marelli PWT Slovakia, Marelli Japan, Marelli Poland, Marelli Italy",0.0,0,0.0,,,,0.0,2021-03-18,,966-282-9732,3741643565,davidbaker@example.net
Inactive,1000000590,"Conrad, Newton and Martinez","SAP-P49, SAP-P49-WF",,0.0,0,0.0,,,,0.0,2021-10-22,,8607212886,7295633672,richardhawkins@example.net
Active,1000000591,Wilson-Merritt,SAP-P49-WF,"Marelli Italy, Marelli PWT Slovakia, Marelli Germany, Marelli Poland",0.0,0,0.0,,,,0.0,2021-09-14,,499-491-0157x67647,2061698685,hernandezalan@example.net
Inactive,1000000592,Craig-Chavez,SAP-P49,"Marelli Italy, Marelli PWT Slovakia",1007218.82,419,-371417.1,23.0,3.25,3.0,3949.88,2024-04-22,,872-689-4134x75098,2947352384,patrick22@example.org
Inactive,1000000593,"Khan, Simon and Jordan",SAP-P49-WF,,1000982.61,378,296828.67,61.0,48.15,10.0,16144.88,2024-10-22,,999-551-5421x447,8768727351,keithhardin@example.net
Active,1000000594,Middleton Ltd,SAP-P49,"Marelli PWT Slovakia, Marelli Japan, Marelli Poland",0.0,0,-0.0,,,,0.0,2023-04-20,,521-238-8209x088,7016740793,bwall@example.com
Active,1000000595,Campbell PLC,SAP-P49-WF,"Marelli PWT Slovakia, Marelli Germany, Marelli Japan, Marelli Poland, Marelli Italy",0.0,0,-0.0,,,,0.0,2021-11-09,,(678)327-4117x67412,6362099603,linda31@example.com
Active,1000000596,Hunter LLC,SAP-P49,Marelli Japan,0.0,0,0.0,,,,0.0,2024-04-19,,281.550.6185x380,5809272118,brendawiggins@example.org
Inactive,1000000597,"Gonzalez, Harrison and Washington","SAP-P49, SAP-P49-WF","Marelli Japan, Marelli Poland",0.0,0,-0.0,,,,0.0,2023-07-01,,(874)323-1830,3769661673,ngrant@example.net
Active,1000000598,Williams Ltd,"SAP-P49, SAP-P49-WF","Marelli Italy, Marelli PWT Slovakia, Marelli Poland, Marelli Germany",1003545.02,215,-300536.92,10.0,49.16,17.0,8293.76,2022-01-18,,996-993-5782x434,6799660122,iharper@example.com
Active,1000000599,Davis-Rodriguez,"SAP-P49, SAP-P49-WF","Marelli Italy, Marelli Germany, Marelli EPT Cologne, Marelli Poland, Marelli PWT Slovakia",1000640.52,142,-231154.56,16.0,79.76,6.0,17252.42,2021-10-22,,001-446-975-3612x75156,4037588223,rburke@example.org
Active,1000000600,Carter PLC,SAP-P49,"Marelli Germany, Marelli EPT Cologne, Marelli Poland",0.0,0,-0.0,,,,0.0,2024-06-06,,960.885.4566,5257338256,dgreen@example.com
Active,1000000601,Chandler-Morgan,"SAP-P49, SAP-P49-WF",Marelli EPT Cologne,0.0,0,-0.0,,,,0.0,2021-08-15,,3477639283,6599307103,cassidysmith@example.net
Inactive,1000000602,Lang Inc,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli Poland, Marelli Japan, Marelli PWT Slovakia",0.0,0,-0.0,,,,0.0,2022-04-01,,001-555-681-0835x83286,2421182871,reneerivera@example.org
Active,1000000603,"Quinn, Case and Johnson",SAP-P49-WF,,996594.74,38,-426097.18,70.0,39.25,18.0,4002.39,2021-04-11,,6812867024,5824621058,crystalwatts@example.org
Inactive,1000000604,Brady-Hess,SAP-P49,"Marelli EPT Cologne, Marelli Germany",0.0,0,-0.0,,,,0.0,2022-12-25,,(462)341-1186x0089,6189981263,mlee@example.com
Active,1000000605,Coleman-Paul,SAP-P49,Marelli Poland,0.0,0,0.0,,,,0.0,2021-08-05,,847-631-4976x4613,5657815385,smitchell@example.net
Active,1000000606,"Sanchez, Smith and Crawford",SAP-P49-WF,"Marelli Italy, Marelli Germany, Marelli Japan",0.0,0,-0.0,,,,0.0,2024-01-27,,(358)617-3906x3757,5672214918,douglas11@example.net
Inactive,1000000607,Clark Group,SAP-P49,"Marelli Poland, Marelli PWT Slovakia, Marelli EPT Cologne, Marelli Japan",0.0,0,0.0,,,,0.0,2022-05-10,,001-531-226-9789,3064428557,tking@example.net
Active,1000000608,Flowers-Johnson,"SAP-P49, SAP-P49-WF",,0.0,0,0.0,,,,0.0,2024-03-09,,001-599-760-4387x875,5857962694,gfletcher@example.net
Active,1000000609,"Haney, Miller and Garcia",SAP-P49,,0.0,0,0.0,,,,0.0,2023-10-19,,001-216-820-2812x371,2144399786,zjackson@example.net
Inactive,1000000610,Taylor-Sawyer,"SAP-P49, SAP-P49-WF",,999879.12,232,-395022.07,73.0,24.2,7.0,23253.0,2024-02-07,,(460)641-6448x59592,5234448975,leahcrane@example.com
Inactive,1000000611,"Munoz, Kennedy and Clark",SAP-P49,"Marelli Germany, Marelli PWT Slovakia, Marelli Italy",997144.98,246,485273.16,49.0,14.25,5.0,2762.17,2023-07-19,,522-587-0562x27104,6399822977,medinamark@example.org
Active,1000000612,"Harrison, Moore and Bell","SAP-P49, SAP-P49-WF","Marelli Japan, Marelli EPT Cologne, Marelli PWT Slovakia",0.0,0,-0.0,,,,0.0,2024-06-27,,+1-635-703-4469,2303648760,jvilla@example.net
Inactive,1000000613,"Hopkins, Jones and Hernandez","SAP-P49, SAP-P49-WF","Marelli Poland, Marelli Italy, Marelli Germany, Marelli Japan",1007516.99,42,60097.06,89.0,0.98,28.0,5857.66,2021-04-12,,001-634-924-9128x9659,8505744245,garylogan@example.org
Inactive,1000000614,Noble PLC,SAP-P49,"Marelli EPT Cologne, Marelli Italy, Marelli PWT Slovakia",1004386.81,188,-174299.97,56.0,51.77,5.0,3025.26,2024-02-08,,(922)870-5102,5027409948,gmurphy@example.org
Active,1000000615,Castro Group,SAP-P49,,998764.11,123,-466219.98,79.0,7.86,3.0,2999.29,2023-08-27,,001-867-954-8581x93242,5018690970,qneal@example.net
Active,1000000616,Grant Group,SAP-P49-WF,"Marelli Italy, Marelli EPT Cologne, Marelli Poland",996590.08,28,-102725.24,18.0,13.27,11.0,5630.45,2023-07-05,,+1-752-405-7563x9836,8383296577,gonzalezmichael@example.org
Active,1000000617,Willis LLC,SAP-P49-WF,,1008988.43,348,303288.5,78.0,20.02,28.0,6726.59,2023-07-04,,954-880-9404,4666966024,forbesjanet@example.com
Active,1000000618,"Brown, Armstrong and Johnson",SAP-P49,,1003204.21,235,-333582.87,21.0,10.46,2.0,4991.07,2021-12-22,,001-479-477-2781x050,7533519146,christopherflowers@example.org
Active,1000000619,Ramos Ltd,SAP-P49,"Marelli Germany, Marelli EPT Cologne, Marelli Japan, Marelli PWT Slovakia, Marelli Poland, Marelli Italy",1006996.78,214,-471691.24,79.0,93.62,29.0,14808.78,2023-08-18,,7514843905,3489066829,zachary66@example.net
Active,1000000620,"Brown, Lee and Juarez",SAP-P49-WF,Marelli Germany,0.0,0,-0.0,,,,0.0,2023-11-20,,(841)427-0493,4768845917,collinsann@example.org
Inactive,1000000621,Owens-Huff,"SAP-P49, SAP-P49-WF","Marelli EPT Cologne, Marelli Italy, Marelli Japan",0.0,0,0.0,,,,0.0,2022-09-04,,797-211-1212,4436327960,kristinarobinson@example.com
Inactive,1000000622,Miller-Ramsey,SAP-P49,,1004623.17,117,210027.04,71.0,87.1,11.0,2017.32,2022-08-03,,643.424.0642,2203233916,robert34@example.org
Inactive,1000000623,Krause LLC,SAP-P49,"Marelli Japan, Marelli Italy",0.0,0,0.0,,,,0.0,2021-12-29,,001-274-817-5955x872,6179888946,amandaclark@example.net
Active,1000000624,Reed-Cochran,SAP-P49,Marelli Poland,997102.68,295,313912.96,26.0,8.01,14.0,7441.06,2023-01-17,,235-388-4183x4374,2792407432,thomasmcdonald@example.com
Active,1000000625,Elliott-Barrett,"SAP-P49, SAP-P49-WF","Marelli Germany, Marelli Poland, Marelli EPT Cologne",1005445.05,277,396966.45,30.0,54.76,17.0,6486.74,2021-08-26,,7513502675,5953234457,robintorres@example.com
Inactive,1000000626,"Lopez, Johnson and Lamb",SAP-P49,,0.0,0,0.0,,,,0.0,2022-10-07,,899.666.7345x957,2670244330,arellanonatalie@example.net
